1 97.4
2 82.56
3 115.44
4 89.68
5 85.86
6 96.62
7 94.6
8 81.78
9 107.2
10 118.04
11 109.9
12 99.22
13 114.54
14 109.12
15 104.12
16 114.72
17 99.96
18 118.86
19 77.08
20 124.18
21 74.3
22 117.32
23 89
24 102.64
25 109.12
26 86.4
27 88.52
28 89.4
29 102.18
30 98.86
31 109.06
32 118.94
33 106.5
34 99.52
35 113.84
36 107.28
37 88.52
38 88.46
39 99.72
40 73.42
41 102.88
42 76.8
43 88.98
44 130.14
45 89.7
46 90.78
47 104.3
48 95.86
49 78.64
50 109.2
51 123.2
52 107.9
53 115.5
54 79.06
55 106.92
56 121.44
57 106.48
58 116.42
59 102.62
60 104.66
61 87.42
62 121.92
63 97.1
64 92.34
65 108.88
66 93.22
67 63.76
68 78.22
69 97.86
70 79.2
71 90.9
72 95.24
73 111.2
74 84.88
75 76.06
76 149.04
77 93.54
78 98.12
79 99.84
80 61.92
81 121.36
82 84.14
83 77.64
84 96.12
85 99.12
86 96.88
87 120.86
88 104.02
89 134.22
90 113.52
91 81.5
92 106.86
93 108.48
94 114.66
95 118
96 109.92
97 104.04
98 123.34
99 82.7
100 105.22
